Date,Close/Last,Open,High,Low
01/16/2024,115.9031,118.8305,118.8724,115.7742
01/12/2024,120.6427,120.3148,122.7228,120.0783
01/11/2024,117.4414,118.6851,119.1221,116.2039
01/10/2024,118.5516,118.661,119.0221,117.4616
01/09/2024,118.6564,120.2029,120.2913,118.2419
01/08/2024,120.5398,118.4427,120.9455,118.3703
01/05/2024,120.2964,120.1857,122.6065,119.5507
01/04/2024,120.6114,119.9755,121.0013,118.8864
01/03/2024,120.3193,121.1185,121.1642,119.4515
01/02/2024,123.5865,125.2807,126.3035,123.2774
12/29/2023,125.6949,125.4695,126.2247,124.3704
12/28/2023,126.5371,128.9505,129.4187,126.4848
12/27/2023,129.5807,129.0123,130.3927,128.8893
12/26/2023,128.3038,128.4887,128.9701,127.5224
12/22/2023,127.9384,129.0411,130.916,127.8087
12/21/2023,126.9481,126.45,127.5919,126.3106
12/20/2023,124.9015,127.8255,127.9618,124.851
12/19/2023,127.7519,124.8559,128.6081,124.5159
12/18/2023,124.193,124.4367,124.7844,123.2232
12/15/2023,123.7632,123.8912,124.8498,122.881
12/14/2023,124.2549,123.2416,126.4003,123.1006
12/13/2023,121.0491,113.6623,121.1082,113.4382
12/12/2023,113.9294,116.9779,117.0207,113.6261
12/11/2023,117.0533,116.3461,117.1844,115.19
12/08/2023,118.0913,117.5053,119.4643,116.9036
12/07/2023,119.5148,120.2471,120.3775,118.5723
12/06/2023,120.0032,121.1281,121.9503,119.9484
12/05/2023,120.0778,121.8797,121.9056,119.1923
12/04/2023,122.4502,123.2191,123.7718,121.55
12/01/2023,125.7954,123.13,125.9395,122.8237
11/30/2023,123.35,122.3593,123.4302,121.63
11/29/2023,123.047,122.9762,123.5039,122.1978
11/28/2023,123.398,119.9477,123.4305,119.4002
11/27/2023,118.5702,118.134,119.051,117.1639
11/24/2023,116.666,116.0243,117.5158,116.0243
11/22/2023,116.0162,116.0378,116.3409,115.0339
11/21/2023,115.4847,114.7793,117.2604,114.7752
11/20/2023,113.0849,111.8213,113.2008,111.316
11/17/2023,112.9161,114.0142,114.4261,112.6166
11/16/2023,113.3548,112.0234,115.1344,112.0234
11/15/2023,111.5783,112.1666,112.606,110.9605
11/14/2023,112.123,109.05,112.7346,108.6196
11/13/2023,106.7207,107.537,108.3945,106.6965
11/10/2023,107.8898,108.4543,108.5213,106.946
11/09/2023,108.8923,109.0306,111.4768,108.0479
